match_id,league,date,home_team,away_team,home_goals,away_goals,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_possession,away_possession,home_pass_success,away_pass_success,home_fouls,away_fouls,home_yellow_cards,away_yellow_cards,home_corners,away_corners,home_red_cards,away_red_cards
542622,意甲,2021-1-10 10:00:00 PM,乌迪内斯,那不勒斯,0,0,17,17,8,6,40.0,60.0,81.0,90.0,19,6,3,1,2,7,0,0
542620,意甲,2021-1-10 10:00:00 PM,帕尔马,拉齐奥,0,0,10,21,0,5,48.0,52.0,83.0,85.0,11,7,4,1,5,6,0,0
542623,意甲,2021-1-10 10:00:00 PM,维罗纳,克罗托内,0,0,13,8,6,2,52.0,48.0,69.0,76.0,16,15,3,3,6,4,0,0
527528,德甲,2021-1-10 10:30:00 PM,奥格斯堡,斯图加特,0,0,10,25,2,10,44.0,56.0,79.0,86.0,7,11,2,2,4,11,1,0
537046,西甲,2021-1-10 11:15:00 PM,加的斯,阿拉维斯,0,0,11,5,8,2,45.0,55.0,65.0,77.0,17,10,1,3,4,1,0,1
542617,意甲,2021-1-11 1:00:00 AM,佛罗伦萨,卡利亚里,0,0,14,9,4,2,52.0,48.0,83.0,80.0,15,14,1,3,9,5,0,0
527523,德甲,2021-1-11 1:00:00 AM,比勒菲尔德,柏林赫塔,0,0,12,11,2,5,49.0,51.0,76.0,76.0,8,18,1,1,8,3,0,0
542619,意甲,2021-1-11 3:45:00 AM,尤文图斯,萨索洛,0,0,23,10,8,2,55.0,45.0,92.0,88.0,11,3,4,1,6,3,0,1
537052,西甲,2021-1-11 4:00:00 AM,巴拉多利德,瓦伦西亚,0,0,11,19,5,7,46.0,54.0,75.0,78.0,14,15,2,3,0,4,0,0
537053,西甲,2021-1-12 2:00:00 AM,埃尔切,赫塔费,0,0,5,10,2,6,44.0,56.0,83.0,74.0,1,1,3,2,1,7,1,0
542621,意甲,2021-1-12 3:45:00 AM,斯佩齐亚,桑普多利亚,0,0,9,6,4,3,55.0,45.0,78.0,70.0,16,16,4,3,4,2,0,0
537048,西甲,2021-1-12 4:00:00 AM,韦斯卡,贝蒂斯,0,0,9,13,3,6,46.0,54.0,81.0,81.0,12,13,2,1,3,6,0,1
601348,西甲,2021-1-13 2:00:00 AM,格拉纳达,奥萨苏纳,0,0,10,15,3,4,42.0,58.0,58.0,75.0,16,17,1,4,4,4,0,0
531075,英超,2021-1-13 2:00:00 AM,谢菲尔德联,纽卡斯尔,0,0,16,8,4,3,68.0,32.0,86.0,69.0,13,12,2,5,5,2,0,1
597920,英超,2021-1-13 4:15:00 AM,伯恩利,曼联,0,0,12,13,0,7,40.0,60.0,67.0,84.0,16,13,1,2,3,4,0,0
531077,英超,2021-1-13 4:15:00 AM,狼队,埃弗顿,0,0,13,5,3,3,53.0,47.0,91.0,88.0,6,11,2,2,6,5,0,0
601347,西甲,2021-1-13 4:30:00 AM,马德里竞技,塞维利亚,0,0,6,14,5,3,39.0,61.0,82.0,90.0,14,11,2,0,3,12,0,0
531079,英超,2021-1-14 2:00:00 AM,曼城,布莱顿,0,0,16,5,6,1,62.0,38.0,91.0,79.0,3,10,0,2,8,4,0,0
601484,英超,2021-1-14 4:15:00 AM,热刺,富勒姆,0,0,15,15,6,4,52.0,48.0,0.0,0.0,13,15,1,2,0,0,0,0
531070,英超,2021-1-15 4:00:00 AM,阿森纳,水晶宫,0,0,11,12,4,2,67.0,33.0,87.0,76.0,10,11,1,1,7,3,0,0
527529,德甲,2021-1-16 3:30:00 AM,柏林联合,勒沃库森,0,0,11,13,3,2,29.0,71.0,67.0,86.0,7,9,1,2,2,3,0,0
542629,意甲,2021-1-16 3:45:00 AM,拉齐奥,罗马,0,0,9,9,9,2,39.0,61.0,82.0,85.0,12,19,5,4,1,7,0,0
529908,法甲,2021-1-16 4:00:00 AM,蒙彼利埃,摩纳哥,0,0,8,14,3,6,48.0,52.0,74.0,72.0,17,11,2,3,5,6,0,0
531089,英超,2021-1-16 8:30:00 PM,狼队,西布朗,0,0,23,12,6,5,62.0,38.0,84.0,67.0,10,14,2,1,11,0,0,0
542625,意甲,2021-1-16 10:00:00 PM,博洛尼亚,维罗纳,0,0,20,8,5,1,50.0,50.0,74.0,76.0,14,9,2,1,7,3,0,0
